seq,global_ts,power.ts,power.current,power.voltage,steering.ts,steering.brake_pressure,steering.turn_angle,rpm_front.ts,rpm_front.rpm_left,rpm_front.rpm_right,rpm_back.ts,rpm_back.rpm_left,rpm_back.rpm_right,gps.ts,gps.lat,gps.long,gps.heading,gps.speed,motor.ts,motor.rpm,motor.throttle,filtered.speed,_t_publish_ns,timestamp
104464,796880956,1125370689,17.84303855895996,49.763519287109375,1124652268,1.2369962930679321,0.3763369917869568,0,nan,nan,1124653167,172.38209533691406,160.47586059570312,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124653184,154.62940979003906,0.2963253855705261,4.86426305770874,1775743572007917661,1775743572009057284
104466,796899324,1125398378,24.491392135620117,49.49274444580078,1124678107,1.2378021478652954,0.3682783842086792,0,nan,nan,1124677063,172.95452880859375,179.2714385986328,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124672959,154.97048950195312,0.29690271615982056,4.8892316818237305,1775743572027494313,1775743572029240423
104468,796917750,1125415846,24.854026794433594,49.608795166015625,1124692685,1.2378021478652954,0.3715018332004547,0,nan,nan,1124694637,174.2888946533203,175.3319549560547,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124691274,155.2669677734375,0.29708153009414673,4.91096830368042,1775743572047496122,1775743572048658597
104472,796947193,1125447188,20.42179298400879,49.763519287109375,1124726602,1.2386080026626587,0.36989009380340576,0,nan,nan,1124725024,172.90667724609375,167.18679809570312,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124720870,155.81771850585938,0.2978786528110504,4.943604469299316,1775743572067456396,1775743572071468143
104474,796960543,1125464272,21.22765350341797,49.5120849609375,1124741419,1.2386080026626587,0.36989009380340576,0,nan,nan,1124738507,172.41378784179688,175.5453643798828,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124734233,156.02981567382812,0.2981856167316437,4.961357116699219,1775743572087518075,1775743572088536090
104476,796975108,1125477077,25.015201568603516,49.24131774902344,1124753361,1.2378021478652954,0.3763369917869568,0,nan,nan,1124751127,172.39793395996094,173.22616577148438,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124747778,156.2770538330078,0.2982076108455658,4.976444244384766,1775743572107517273,1775743572108435605
104480,797002979,1125506836,17.84303855895996,50.42110061645508,1124783466,1.2369962930679321,0.36989009380340576,0,nan,nan,1124780640,173.73980712890625,171.45208740234375,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124776568,156.7534637451172,0.29948538541793823,5.003902912139893,1775743572127486546,1775743572128382212
104482,797018162,1125519544,22.39615249633789,49.49274444580078,1124796926,1.2369962930679321,0.3747252821922302,0,nan,nan,1124795705,169.07122802734375,173.27418518066406,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124791720,157.00759887695312,0.29976925253868103,5.014366626739502,1775743572147499634,1775743572148388522
104486,797047567,1125550833,21.912635803222656,49.570106506347656,1124827433,1.2402197122573853,0.3674725294113159,0,nan,nan,1124825193,170.4700469970703,171.73475646972656,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124821157,157.5338897705078,0.3003624379634857,5.03383207321167,1775743572167537405,1775743572168455071
104488,797060723,1125564202,17.923625946044922,49.66681671142578,1124840909,1.2369962930679321,0.3763369917869568,0,nan,nan,1124838319,170.82725524902344,168.22178649902344,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124834248,157.72988891601562,0.3005615770816803,5.040289402008057,1775743572187504864,1775743572188392437
104490,797076074,1125577350,24.894319534301758,49.87956237792969,1124853716,1.2386080026626587,0.372307687997818,0,nan,nan,1124853096,172.2237548828125,168.5696258544922,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124849370,157.9551544189453,0.3013106882572174,5.0477519035339355,1775743572207697966,1775743572209285524
104494,797102694,1125606127,25.095787048339844,49.49274444580078,1124882915,1.2378021478652954,0.3747252821922302,0,nan,nan,1124880265,175.00466918945312,167.89039611816406,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124876223,158.43222045898438,0.30183225870132446,5.065678596496582,1775743572227504094,1775743572229456349
104496,797118223,1125619280,20.50238037109375,49.570106506347656,1124897150,1.2369962930679321,0.3731135427951813,0,nan,nan,1124895742,175.7757568359375,168.91891479492188,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124891726,158.67770385742188,0.30235761404037476,5.0748419761657715,1775743572247515515,1775743572248279424
104498,797134474,1125634880,24.692855834960938,49.570106506347656,1124911214,1.2386080026626587,0.3690842390060425,0,nan,nan,1124910030,178.02886962890625,165.75318908691406,796275718,39.79201126098633,-86.23306274414062,141.1300048828125,4.586268424987793,1124907864,158.97476196289062,0.30270296335220337,5.082852363586426,1775743572267554676,1775743572268586616
